,Compound,Median length- mm,Median YOLKSAC BREADTH (mm),Median Yolk sac area(mm2),Median Eye area(mm2),Median YOLKSAC BREADTH Ratio,Median Yolk sac area Ratio,Median Eye area Ratio,principal component 1,principal component 2,pca_clusters2
21,C37,3.66,0.415,0.166,0.038,0.11338797814207649,0.0453551912568306,0.010382513661202184,-0.2795293935066784,-0.0008412946587163208,1
22,C38,3.611,0.383,0.16,0.035,0.1060648019939075,0.044309055663251176,0.009692605926336195,-0.23124941474497995,-0.011750386493220365,1
23,C40,3.509,0.431,0.21,0.031,0.12282701624394414,0.05984611000284981,0.00883442576232545,-0.1278901539436853,0.001924701224517921,1
24,C41,3.643,0.434,0.18600000000000005,0.04,0.11913258303595937,0.05105682130112547,0.010979961570134505,-0.26199586392041607,0.005417242585810675,1
25,C42,3.705,0.419,0.171,0.034,0.11309041835357624,0.046153846153846156,0.009176788124156546,-0.3243896028421318,0.0027640408110328435,1
26,C43,3.681,0.377,0.165,0.038,0.10241782124422712,0.04482477587612062,0.010323281716924749,-0.30128352408702724,-0.009321846126869027,1
27,C48,3.513,0.459,0.191,0.034,0.13065755764304016,0.05436948477085113,0.00967833760318816,-0.13146104222300026,0.007001061939518082,1
28,C49,3.644,0.402,0.181,0.035,0.11031833150384193,0.049670691547749724,0.009604829857299671,-0.26368033359599496,-0.0030512999585853738,1
29,C51,3.367,0.423,0.239,0.033,0.12563112563112563,0.07098307098307098,0.009801009801009801,0.014196710297633778,-0.002006863411982581,1
18,C29,3.457,0.477,0.224,0.03,0.13798090830199594,0.06479606595313857,0.008678044547295342,-0.07479834526042224,0.013611309892292285,1
31,C54,3.689,0.391,0.196,0.036000000000000004,0.10599078341013825,0.05313092979127135,0.009758742206560044,-0.30875752002967694,-0.00196097575498779,1
32,C56,3.649,0.362,0.179,0.03,0.0992052617155385,0.04905453548917511,0.00822143052891203,-0.26949862482622167,-0.012956589629686172,1
33,C57,3.564,0.434,0.184,0.032,0.12177328843995511,0.051627384960718295,0.008978675645342313,-0.18303363528760938,0.001829193558168833,1
17,C28,3.451,0.434,0.209,0.032,0.1257606490872211,0.06056215589684149,0.00927267458707621,-0.06983425923747277,0.0003164271643420047,1
35,C60,3.489,0.447,0.192,0.032,0.12811693895098883,0.055030094582975066,0.009171682430495844,-0.10770333426974575,0.003097627680033827,1
36,C63,3.491,0.435,0.195,0.032,0.12460613004869664,0.05585792036665712,0.00916642795760527,-0.10993052711185797,0.00043341524583976763,1
74,C158,3.516,0.381,0.16399999999999998,0.034,0.1083617747440273,0.04664391353811148,0.009670079635949944,-0.1363089507113694,-0.01616024499876009,1
38,C68,3.41,0.425,0.175,0.027000000000000003,0.12463343108504397,0.05131964809384164,0.007917888563049855,-0.029312770099569244,-0.007827517347881134,1
16,C27,3.526,0.508,0.236,0.036000000000000004,0.14407260351673284,0.06693136698808849,0.010209869540555873,-0.14307401816285223,0.025441317346256334,1
41,C72,3.4,0.397,0.179,0.033,0.11676470588235295,0.05264705882352941,0.009705882352941177,-0.019880234285104756,-0.015158434512829944,1
43,C78,3.574,0.377,0.16,0.037000000000000005,0.1054840514829323,0.044767767207610526,0.010352546166759935,-0.19439300443116442,-0.014989879663221758,1
13,C17,3.569,0.465,0.21,0.038,0.13028859624544692,0.05884001120762118,0.010647240123283833,-0.1871838176634243,0.012958802542913163,1
11,C13,3.42,0.485,0.231,0.038,0.14181286549707603,0.06754385964912281,0.011111111111111112,-0.037550430601456,0.015325174785363443,1
48,C105,3.452,0.444,0.172,0.038,0.12862108922363846,0.04982618771726535,0.01100811123986095,-0.07092964594517008,-0.0015505783942534718,1
75,C159,3.362,0.449,0.198,0.029,0.13355145746579417,0.05889351576442594,0.008625817965496729,0.0194111824004657,-0.0003500991832151287,1
